愛,13,アイ,
案,10,アン,
以,5,イ,
位,7,イ,くらい
衣,6,イ,ころも
井,4,,い
茨,9,,いばら
印,6,イン,しるし
栄,9,エイ,さか（える）
英,8,エイ,
塩,13,エン,しお
岡,8,,おか
沖,7,,おき
憶,15,オク,
加,5,カ,くわ（える）・くわ（わる）
果,8,カ,は（てる）・は（たす）
課,15,カ,
貸,11,カ,
芽,8,ガ,め
賀,12,ガ,
改,7,カイ,あらた（める）・あらた（まる）
械,11,カイ,
害,10,ガイ,
街,12,ガイ,まち
各,6,カク,
覚,12,カク,おぼ（える）・さ（める）
潟,15,,カタ
完,7,カン,
官,8,カン,
管,14,カン,くだ
観,18,カン,
関,14,せき,かか（わる）・せき
願,19,ガン,ねが（い）
器,15,キ,
岐,7,キ・ギ,
希,7,キ,
旗,14,キ,はた
機,16,キ,
季,8,キ,
議,20,ギ,
求,7,キュウ,もと（める）
泣,7,キュウ,な（く）
給,12,キュウ,
拳,10,キョ,あ（げる）
漁,14,ギョ・リョウ,
競,20,キョウ・ギョ,
共,6,キョウ,とも
協,8,キョウ,
鏡,19,キョウ,かがみ
極,12,キョク,
熊,14,,くま
訓,10,クン,
群,13,グン,む（れる）・むら（がる）
軍,9,グン,
郡,10,グン,
径,8,ケイ,
景,12,ケイ,
芸,7,ゲイ,
欠,4,ケツ,か（ける）・か（く）
結,12,ケツ,むす（ぶ）
建,11,ケン,た（てる）・た（つ）
験,18,ケン,
固,8,コ,かた（い）・かた（める）
候,10,コウ,
功,5,コウ,
好,6,コウ,この（み）・す（き）
康,11,コウ,
香,9,,かお（り）・か
佐,7,サ,
差,10,サ,さ（す）
最,12,サイ,もっと（も）
菜,11,サイ,な
材,7,ザイ,
阪,7,ハン,さか
崎,11,,さき
埼,11,,さい
昨,9,サク,
刷,8,サツ,す（る）
察,14,サツ,
札,5,サツ,ふだ
参,8,サン,まい（る）
散,12,サン,ち（る）・ち（らかす）・ち（らす）
産,11,サン,う（まれる）・う（む）
残,10,ザン,のこ（る）
司,5,シ,
氏,4,シ,
試,13,シ,こころ（みる）
児,7,ジ,
滋,12,シ・ジ,しげる・ます
治,8,ジ,なお（す）・おさ（める）
辞,13,ジ,
鹿,11,,しか
失,5,シツ,うしな（う）
借,10,シャク,か（りる）
種,14,シュ,たね
周,8,シュウ,まわ（り）
祝,9,シュク,いわ（う）
順,12,ジュン,
初,7,ショ,はつ・はじ（め）
唱,11,ショウ,とな（える）
松,8,ショウ,まつ
焼,12,ショウ,や（く）・や（ける）
照,13,ショウ,て（らす）・て（る）
省,9,ショウ・セイ,はぶ（く）
笑,10,,わら（う）
城,9,ジョウ,しろ
信,9,シン,
臣,7,ジン・シン,
成,6,セイ,な（る）・な（す）
清,11,セイ,きよ（める）・しず（まる）
静,14,セイ,しず（か）・しず（まる）
席,10,セキ,
積,16,セキ,つ（もる）・つ（む）
折,7,セツ,お（れる）・おり
節,13,セツ,ふし
説,14,セツ,と（く）
戦,13,セン,たたか（う）
浅,9,,あさ（い）
選,15,セン,えら（ぶ）
然,12,ゼン・ネン,
倉,10,ソウ,くら
巣,11,,す
争,6,ソウ,あらそ（う）
側,11,ソク,がわ
束,7,ソク,たば
続,13,ゾク,つづ（く）・つづ（ける）
卒,8,ソツ,
孫,10,ソン,まご
帯,10,タイ,おび
隊,12,タイ,
達,12,タツ,
単,9,タン,
置,13,チ,お（く）
仲,6,,なか
兆,6,チョウ,
低,7,テイ,ひく（い）・ひく（まる）
底,7,テイ,そこ
的,8,テキ,まと
典,8,テン,
伝,6,デン,つた（える）・つた（わる）
徒,10,ト,
努,7,ド,つと（める）
灯,6,トウ,あか（り）
働,13,ドウ,はたら（く）
徳,14,トク,
特,10,トク,
栃,9,,とち
奈,8,ナ,
縄,15,,なわ
熱,15,ネツ,あつ（い）
念,8,ネン,
敗,11,ハイ,やぶ（れる）
梅,10,バイ,うめ
博,12,ハク,
飯,12,ハン,めし
飛,9,ヒ,と（ぶ）・と（ばす）
必,5,ヒツ,かなら（ず）
媛,12,ヒン,ひめ
標,15,ヒョウ,
票,11,ヒョウ,
不,4,フ・ブ,
付,5,フ,つ（ける）・つ（く）
夫,4,フ,おっと
富,12,フ,とみ・と（む）
府,8,フ,
阜,8,フ,
副,11,フク,
兵,7,ヘイ・ヒョウ,
別,7,ベツ,わか（れ）
変,9,ヘン,か（わる）・か（える）
辺,5,ヘン,あた（り）
便,9,ベン・ビン,たよ（り）
包,5,ホウ,つつ（む）
法,8,ホウ,
望,11,ボウ,のぞ（む）
牧,8,ボク,
末,5,マツ,すえ
満,12,マン,み（たす）・み（ちる）
未,5,ミ,
民,5,ミン,
無,12,ム・ブ,な（し）・な（い）
約,9,ヤク,
勇,9,ユウ,いさ（む）
要,9,ヨウ,かなめ
養,15,ヨウ,やしな（う）
浴,10,ヨク,あ（びる）・あ（びせる）
利,7,リ,
梨,11,,なし
陸,11,リク,
料,10,リョウ,
良,7,リョウ,よ（い）
量,12,リョウ,はか（る）
輪,15,リン,わ
類,18,ルイ,たぐ（い）
令,5,レイ,
例,8,レイ,たと（える）
冷,7,レイ,つめ（たい）・ひ（やす）・ひ（える）・さ（める）・さ（ます）
連,10,レン,つ（れる）・つら（なる）
労,7,ロウ,
老,6,ロウ,お（いる）
録,16,ロク,
