悪,11,アク・オ,わる（い）
安,6,アン,やす（い）
暗,13,アン,くら（い）
医,7,イ,
委,8,イ,ゆだ（ねる）
意,13,イ,
育,8,イク,そだ（てる）・はぐ（くむ）
員,10,イン,
院,10,イン,
飲,12,イン,の（む）
運,12,ウン,はこ（ぶ）
泳,8,エイ,およ（ぐ）
駅,15,エキ,
央,5,オウ,
横,15,オウ,よこ
屋,9,オク,や
温,12,オン,
化,4,カ,ば（ける）
荷,10,カ,に
開,12,カイ,ひら（く）・あ（ける）
界,9,カイ,
階,12,カイ,
寒,12,カン,さむ（い）
感,12,カン,
漢,13,カン,
館,16,カン,やかた
岸,8,ガン,きし
起,10,キ,お（きる）・お（こす）・お（こる）
期,12,キ・ゴ,
客,9,キャク・カク,
究,7,キュウ,きわ（める）
急,9,キュウ,いそ（ぐ）
級,9,キュウ,
宮,10,キュウ・グウ・ク,みや
球,11,キュウ,たま
去,5,キョ・コ,さ（る）
橋,16,キョウ,はし
業,13,ギョウ・ゴウ,わざ
曲,6,キョク,ま（がる）
局,7,キョク,
銀,14,ギン,
区,4,ク,
苦,8,ク,にが（い）・くる（しい）
具,8,具,
君,7,クン,きみ
係,9,ケイ,かかり・かか（る）
軽,12,ケイ,かる（い）・かろ（やか）
血,6,ケツ,ち
決,8,ケツ,き（まる）・き（める）
研,9,ケン,と（ぐ）
県,9,ケン,
庫,10,コ,
湖,12,コ,みずうみ
向,6,コウ,む（かう）・む（く）
幸,8,コウ,しあわ（せ）・さいわ（い）
港,12,コウ,みなと
号,5,ゴウ,
根,10,コン,ね
祭,11,サイ,まつ（り）
皿,5,,さら
仕,5,シ・ジ,つか（える）
死,6,シ,し
使,8,シ,つか（う）
始,8,シ,はじ（める）・はじ（まる）
指,9,シ,ゆび
歯,12,シ,は
詩,13,シ,
次,6,ジ・シ,つぎ・つ（ぐ）
事,8,ジ,こと
持,9,ジ,も（つ）
式,6,シキ,
実,8,ジツ,みの（る）・み
写,5,シャ,うつ（る）
者,8,シャ,もの
主,5,シュ,おも・ぬし
守,6,シュ・ス,まも（る）
取,8,シュ,と（る）
酒,10,シュ,さけ・さか
受,8,ジュ,う（ける）・う（かる）
州,6,シュウ,す
拾,9,シュウ・ジュウ,ひろ（う）
終,11,シュウ,お（わり）
習,11,シュウ,なら（う）
集,12,シュウ,あつ（まる）
住,7,ジュウ,す（む）・す（まう）
重,9,ジュウ・チョウ,おも（い）・かさ（ねる）
宿,11,シュク,やど
所,8,ショ,ところ
暑,12,ショ,あつ（い）
助,7,ジョ,たす（ける）・たす（かる）
昭,9,ショウ,
消,10,ショウ,け（す）・き（える）
商,11,ショウ,あきな（い）
章,11,ショウ,
勝,12,ショウ,か（つ）・まさ（る）
乗,9,ジョウ,の（る）
植,12,ショク,う（える）
申,5,シン,もう（す）
身,7,シン,み
神,9,シン・ジン,かみ・こう・かん
真,10,シン,ま
深,12,シン,ふか（い）
進,10,シン,すす（む）
世,5,セイ・セ,よ
整,16,セイ,ととの（う）
昔,8,セキ・ジャク,むかし
全,6,ゼン,まった（く）・すべ（て）
相,9,ソウ・ショウ,あい
送,9,ソウ,おく（る）
想,13,ソウ・ソ,
息,10,ソク,いき
速,10,ソク,はや（い）・すみ（やか）
族,11,ゾク,
他,6,タ,ほか
打,5,ダ,う（つ）
対,7,タイ・ツイ,
待,9,タイ,ま（つ）
代,5,ダイ・タイ,か（わる）・よ・しろ
第,11,ダイ,
題,18,ダイ,
炭,9,タン,すみ
短,12,タン,みじか（い）
談,15,ダン,
着,12,チャク,つ（く）・き（る）
注,8,チュウ,そそ（ぐ）
柱,9,チュウ,はしら
丁,2,チョウ,
帳,11,チョウ,
調,11,チョウ,しら（べる）・ととの（う）
追,9,ツイ,お（う）
定,8,テイ・ジョウ,さだ（める）・さだ（か）
庭,10,テイ,にわ
笛,11,テキ,ふえ
鉄,13,テツ,
転,11,テン,ころ（ぶ）・ころ（がる）
都,11,ト・ツ,みやこ
度,9,ド,
投,7,トウ,な（げる）
豆,7,トウ・ズ,まめ
島,10,トウ,しま
湯,12,トウ,ゆ
登,12,トウ・ト,のぼ（る）
等,12,トウ,ひと（しい）
動,11,ドウ,うご（く）
童,12,ドウ,わらべ
農,13,ノウ,
波,8,ハ,なみ
配,11,ハイ,くば（る）
倍,10,バイ,
箱,15,,はこ
畑,9,ハタ,はたけ
発,10,ハツ・ハッ,
反,4,ハン,
坂,7,,さか
板,8,バン・パン,いた
皮,5,ヒ・ピ,かわ
悲,12,ヒ,かな（しい）
美,9,ビ,うつく（しい）
鼻,15,ビ,はな
筆,12,ヒツ,ふで
氷,5,ヒョウ,こおり
表,8,ヒョウ,おもて・あらわ（れる）
秒,9,ビョウ,
病,10,ビョウ,やまい
品,9,ヒン,しな
負,9,フ,ま（ける）
部,11,ブ,
服,8,,ふく
福,13,フク,
物,8,ブツ,もの
平,5,ヘイ・ビョウ,たいら
返,7,ヘン,かえ（す）
勉,10,ベン,つと（める）
放,8,ホウ,はな（つ）
味,8,ミ,あじ
命,8,メイ,いのち
面,9,メン,
問,11,モン,と（う）
役,7,ヤク,
薬,16,ヤク,くすり
由,5,ユウ,ゆえ
油,8,ユ,あぶら
有,6,ユウ,あ（る）
遊,12,ユウ,あそ（び）
予,4,ヨ,
羊,6,ヨウ,ひつじ
洋,9,ヨウ,
葉,11,ヨウ,は
陽,12,ヨウ,
様,14,ヨウ,さま
落,12,ラク,お（ちる）
流,10,リュウ,なが（れる）
旅,10,リョ,たび
両,6,リョウ,
緑,14,リョク,みどり
礼,5,レイ,
列,6,レツ,
練,15,レン,
路,13,ロ,みち
和,8,ワ,かず
