胃,9,イ,
異,11,イ,こと（なる）
遺,14,イ・ユイ,
域,11,イキ,
宇,6,ウ,
映,9,エイ,うつ（す）・は（える）
延,8,エイ,の（ばす）
沿,8,エン,そ（う）
恩,10,オン,
我,7,ガ,われ・わ
灰,6,カイ,はい
拡,8,カク,ひろ（がる）
革,8,カク,かわ・あらた（まる）
閣,14,カク,
割,13,カツ,わ（る）・わり・さ（く）
株,10,,かぶ
干,3,カン,ほ（す）・ひ（る）
巻,9,カン・ケン,ま（く）
看,9,カン,み（る）
簡,18,カン,
危,6,キ,あぶ（ない）・あや（うい）
机,6,キ,つくえ
揮,12,キ,ふる（う）
貴,12,キ,とうと（い）・たっと（い）
疑,14,ギ,うたが（う）
吸,7,キュウ,す（う）
供,8,キョウ・ク,とも・そな（える）
胸,10,キョウ,むね
郷,11,キョウ・ゴウ,
勤,12,キン・ゴン,つと（める）
筋,12,キン,すじ
系,7,ケイ,
敬,12,ケイ,うやま（う）
警,19,ケイ,
劇,17,ゲキ,
激,16,ゲキ,はげ（しい）
穴,6,ケツ,あな
券,8,ケン,
絹,13,ケン,きぬ
権,15,ケン・ゴン,
憲,17,ケン,
源,13,ゲン,みなもと
厳,15,ゲン・ゴン,きび（しい）・おごそ（か）
己,3,コ・キ,おのれ
呼,8,コ,よ（ぶ）
誤,14,ゴ,あやま（る）
后,6,ゴウ・ゴ,きさき
孝,7,コウ,
皇,9,コウ・オウ,
紅,9,コウ・ク,べに・あか（い）・くれない
降,10,コウ,お（りる）・ふ（る）
鋼,16,コウ,はがね
刻,8,コク,きざ（む）
穀,14,コク,
骨,10,コツ,ほね
困,7,コン,こま（る）
砂,9,サ・シャ,すな
座,10,ザ,すわ（る）
済,11,サイ,す（む）
裁,12,サイ,さば（く）・た（つ）
策,12,サク,
冊,5,サク・サツ,
蚕,10,サン,かいご
至,6,シ,いた（る）・いたり
私,7,シ,わたし・わたくし
姿,9,シ,すがた
視,11,シ,
詞,12,シ,
誌,14,シ,
磁,14,ジ,
射,10,シャ,さ（す）・い（る）
捨,11,シャ,す（てる）
尺,4,シャク,
若,8,ジャク・ニャク,わか（い）・も（しくは）
樹,16,ジュ,き
収,4,シュウ,おさ（める）
宗,9,シュウ・ソウ,
就,12,シュウ・ジュ,つ（く）
衆,12,シュウ・シュ,
従,10,ジュウ・ショウ・ジュ,したが（う）
縦,16,ジュウ,たて
縮,17,シュク,ちぢ（む）・ちぢ（める）
熟,15,ジュク,う（れる）
純,10,ジュン,
処,5,ショ,ところ
署,12,ショ,
諸,15,ショ,もろ
除,10,ジョ・ジ,のぞ（く）
承,8,ショウ,うけたまわ（る）
将,10,ショウ,
傷,13,ショウ,きず・いた（む）
障,14,ショウ,さわ（る）
蒸,13,ジョウ,む（らす）
針,10,シン,はり
仁,4,ジン・二,
垂,8,スイ,た（れる）
推,11,スイ,お（す）
寸,3,スン,
盛,11,セイ・ジョウ,も（る）・も（れる）
聖,13,セイ・ヒジリ,
誠,13,セイ,まこと
舌,6,ゼツ,した
宣,10,セン,
専,9,セン,もっぱ（ら）
泉,9,セン,いずみ
洗,9,セン,あら（う）
染,9,セン,そ（める）・し（みる）
銭,14,セン,ぜに
善,12,ゼン,よ（い）
奏,9,ソウ,かな（でる）
窓,11,ソウ,まど
創,12,ソウ,つく（る）
装,12,ソウ・ショウ,よそお（い）
層,14,ソウ,
操,16,ソウ,あやつ（る）
蔵,14,ゾウ,くら
臓,18,ゾウ,
存,6,ソン・ゾン,
尊,11,ソン,とうと（い）・たっと（い）
退,9,タイ,しりぞ（く）
宅,6,タク,
担,8,タン,かつ（ぐ）・にな（う）
探,11,タン,さが（す）・さぐ（る）
誕,15,タン,
段,9,ダン,
暖,13,ダン・ノン,あたた（かい）・あたた（まる）
値,10,チ,ね・あたい
宙,8,チュウ,
忠,8,チュウ,
著,11,チョ・チャク,あらわ（す）
庁,5,チョウ,
頂,11,チョウ,いただ（く）・いただき
腸,13,チョウ,
潮,15,チョウ,しお・うしお
賃,13,チン,
痛,13,ツウ,いた（い）
敵,15,テキ,かたき
展,10,テン,
討,10,トウ,う（つ）
党,10,トウ,
糖,16,トウ,
届,8,カイ,とど（ける）・とど（く）
難,18,ナン,むずか（しい）・かた（い）
乳,8,ニュウ,ちち
認,14,ニン,みとめ（る）
納,10,ノウ・ナッ・ナン・トウ,おさ（める）
脳,11,ノウ,のう（みそ）
派,9,ハ,
拝,8,ハイ,おが（む）
背,9,ハイ,せ・そむ（く）
肺,9,ハイ,はい
俳,10,ハイ,
班,10,ハン,
晩,11,バン,
否,7,ヒ,いな
批,7,ヒ,
秘,9,ヒ,ひ（める）
俵,10,ヒョウ,たわら
腹,13,フク,はら
奮,16,フン,ふる（う）
並,8,ヘイ,なみ・なら（べる）
陛,10,ヘイ,
閉,11,ヘイ,し（める）・と（じる）
片,4,ヘン,かた
補,11,ホ,おぎな（う）
暮,14,ボ,く（らす）
宝,9,ホウ,たから
訪,11,ホウ,おとず（れる）・たず（ねる）
亡,3,ボウ・モウ,な（くす）
忘,7,ボウ,わす（れる）
棒,12,ボウ,
枚,8,マイ・バイ,ひら
幕,10,マク・バク,
密,11,ミツ,ひそ（か）
盟,12,メイ,
模,14,モ・ボ,
訳,11,ヤク,わけ
郵,11,ユウ,
優,17,ユウ,やさ（しい）・すぐ（れる）
預,13,ヨ,あず（ける）・あず（かる）
幼,5,ヨウ,おさな（い）
欲,11,ヨク,ほ（しい）
翌,11,ヨク,
乱,7,ラン,みだ（れる）
卵,7,ラン,たまご
覧,16,ラン,
裏,13,リ,うら
律,9,リツ・リチ,
臨,17,リン,のぞ（む）
朗,10,ロウ,
論,15,ロン,
