圧,5,アツ,
囲,7,イ,かこ（む）
移,10,イ,うつ（す）・うつ（る）
因,6,イン,ちな（む）・よ（って）
永,5,エイ,なが（い）
営,12,エイ,いとな（む）
衛,16,エ・エイ,まもる
易,8,イ・エキ,やさ（しい）
益,10,エキ・ヤク,
液,11,エキ,
演,14,エン,
応,7,オウ,こた（える）
往,8,オウ,い（く）・ゆ（く）
桜,10,オウ,さくら
可,5,カ,
仮,6,カ・ケ,かり
価,8,カ,あたい
河,8,カ,かわ
過,12,カ,す（ぎる）・あやま（ち）
快,7,カイ,こころよ（い）
解,13,カイ・ゲ,と（く）
格,10,カク・コウ,
確,15,カク,たし（かめる）
額,19,ガク,ひたい
刊,5,カン,
幹,13,カン,みき
慣,15,カン,な（れる）
眼,11,ガン,まなこ
紀,9,キ,
基,11,キ,もと・もとい
寄,11,キ,よ（せる）
規,11,キ,
喜,12,キ,よろこ（び）
技,7,ギ,わざ
義,13,ギ,
逆,9,ギャク,さか・さか（らう）
久,3,キュウ・ク,ひさし（く）
旧,5,キュウ,
救,11,キュウ,すく（う）
居,8,キョ,い（る）
許,11,キョ,ゆる（す）
境,14,キョウ・ケイ,さかい
均,7,キン,
禁,13,キン,
句,5,ク,
型,9,ケイ,かた
経,11,ケイ・キョウ,へ（る）
潔,15,ケツ,いさぎよ（い）
件,6,ケン,
険,11,ケン,けわ（しい）
検,12,ケン,
限,9,ゲン,かぎ（る）
現,11,ゲン,あらわ（れる）
減,12,ゲン,へ（る）
故,9,コ,ゆえ
個,10,コ,
護,17,ゴ,
効,8,コウ,き（く）
厚,9,コウ,あつ（い）
耕,10,コウ,たがや（す）
航,10,コウ,
鉱,12,コウ,
構,15,コウ,かま（う）
興,17,コウ・キョウ,おこ（す）
講,17,コウ,こう
告,7,コク,つ（げる）
混,11,コン,ま（ざる）
査,9,サ,
再 ,7,サ・サイ,ふたた（び）
災,7,サイ,わざわい
妻,8,サイ,つま
採,11,サイ,と（る）
在,6,ザイ,あ（る）
財,10,ザイ・サイ,
罪,13,ザイ,つみ
殺,10,サツ・サイ・セツ,ころ（す）
雑,14,ザツ・ゾウ,
酸,14,サン,す（い）
賛,15,サン,
士,3,シ,
支,4,シ,ささ（える）
史,5,シ,
志,7,シ,こころざし
枝,8,シ,えだ
師,10,シ,
資,13,シ,
飼,13,シ,か（う）
示,5,シ・ジ,しめ（す）
似,7,ジ,に（る）
識,19,シキ,
質,15,シツ・シチ,
舎,8,シャ,
謝,17,シャ,あやま（る）
授,11,ジュ,さず（かる）
修,10,シュ・シユウ,おさめ（る）
述,8,ジュツ,の（べる）
術,11,ジュツ,
準,13,ジュン,
序,7,ジョ,
招,8,ショウ,まね（く）
証,12,ショウ,あかし
象,12,ショウ・ゾウ,
賞,15,ショウ,
条,7,ジョウ,
状,7,ジョウ,
常,11,ジョウ,つね・とこ
情,11,ジョウ・セイ,なさけ
織,18,ショク・シキ,お（る）
職,18,ショク,
制,8,セイ,
性,8,セイ・ショウ,
政,9,セイ・ショウ,まつりごと
勢,13,セイ,いきお（い）
精,14,セイ・ショウ,
製,14,セイ,
税,12,ゼイ,
責,11,セキ,せ（める）
績,17,セキ,
接,11,セツ,つ（ぐ）
設,11,セツ,もう（ける）・しつら（える）
絶,13,ゼツ,た（つ）・た（える）
祖,9,ソ,
素,10,ソ・ス,もと
総,14,ソウ,す（べる）・ふさ
造,10,ゾウ,つく（る）
像,14,ゾウ,
増,14,ゾウ,ふ（える）・ま（す）
則,9,ソク,
測,12,ソク,はか（る）
属,12,ゾク,
率,11,ソツ・リツ,ひき（いる）
損,13,ソン,そこ（なう）
貸,12,タイ,か（す）
態,14,タイ,
団,6,ダン・トン,
断,11,ダン,ことわ（る）
築,16,チク,きず（く）
貯,12,チョ,た（める）
張,10,チョウ,は（る）
停,11,テイ,
提,12,テイ,さ（げる）
程,12,テイ,ほど
適,12,テキ,かな（わない）
統,12,トウ,す（べる）
堂,11,ドウ,
銅,14,ドウ,
導,15,ドウ,みちびき・みちび（く）
得,11,トク,え（る）・う（る）
毒,8,ドク,
独,9,ドク,ひと（り）
任,6,ニン,まか（す）
燃,16,ネン,も（える）
能,10,ノウ,
破,10,ハ,やぶ（れる）
犯,5,ハン,おか（す）
判,7,ハン・バン,
版,8,ハン,
比,5,ヒ,比（べる）
肥,7,ヒ,こ（し）・こ（える）
非,8,ヒ,
費,12,ヒ,つい（やす）
備,13,ビ,そな（える）
評,12,ヒョウ,
貧,11,ヒン・ビン,まず（しい）
布,5,フ,ぬの
婦,12,フ,
武,8,ブ・ム,
復,12,フク,
複,15,フク,
仏,4,ブツ,ほとけ
粉,10,フン,こな・こ
編,15,ヘン,あ（む）
弁,5,ベン,
保,9,ホ,たも（つ）
墓,13,ボ,はか
報,11,ホウ,むく（いる）
豊,13,ホウ,ゆたか
防,7,ボウ,ふせ（ぐ）
貿,11,ボウ,
暴,15,ボウ,あば（れる）・あば（く）
脈,10,ミャク,
務,11,ム,つと（める）
夢,13,ム,ゆめ
迷,9,メイ,まよ（う）
綿,14,メン,わた
輸,17,ユ,
余,7,ヨ,あま（る）
容,10,ヨウ,
略,11,リャク,
留,9,リュウ・ル,と（める）
領,15,リョウ,
歴,14,レキ,
